competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1153,2013,Juegos Centroamericanos 2013,Senior,COSTA RICA,2013-03-05,2013-03-05,Foil,Mens,America/Los_Angeles,https://fie.org/competitions/2013/1153,2013-1153,no pools data
741,2011,Championnats d'Europe,Senior,GREAT BRITAIN,2011-07-14,2011-07-19,Foil,Mens,Europe/London,https://fie.org/competitions/2011/741,2011-741,no pools data
54,2016,Coupe du Monde,Junior,SPAIN,2015-12-12,2015-12-12,Foil,Mens,Europe/Madrid,https://fie.org/competitions/2016/54,2016-54,
50,2012,Coupe du Monde,Junior,POLAND,2011-12-18,2011-12-18,Foil,Mens,Europe/Warsaw,https://fie.org/competitions/2012/50,2012-50,no pools data
226,2005,Champ du monde juniors-cadets,Junior,AUSTRIA,2005-03-26,2005-03-26,Foil,Mens,Europe/Vienna,https://fie.org/competitions/2005/226,2005-226,no pools data
398,2004,Tournoi satellite fleuret masculin,Senior,DENMARK,2004-03-20,2004-03-21,Foil,Mens,Europe/Copenhagen,https://fie.org/competitions/2004/398,2004-398,no pools data
798,2014,Championnats Panaméricains,Senior,COSTA RICA,2014-06-01,2014-06-01,Foil,Mens,America/Los_Angeles,https://fie.org/competitions/2014/798,2014-798,no pools data
244,2006,Championnats du Monde,Senior,ITALY,2006-10-02,2006-10-03,Foil,Mens,Europe/Rome,https://fie.org/competitions/2006/244,2006-244,no pools data
145,2005,Fencing WC,Senior,JAPAN,2005-03-12,2005-03-13,Foil,Mens,Asia/Tokyo,https://fie.org/competitions/2005/145,2005-145,no pools data
145,2018,Grand Prix,Senior,CHINA,2018-05-19,2018-05-20,Foil,Mens,Asia/Hong_Kong,https://fie.org/competitions/2018/145,2018-145,
142,2017,Challenge International de Paris,Senior,FRANCE,2017-01-20,2017-01-21,Foil,Mens,Europe/Paris,https://fie.org/competitions/2017/142,2017-142,
