id,name,country_code,country,hand,age,url,date_accessed
49321,SMITHISUKUL Chayada,THA,THAILAND,Right,16,https://fie.org/athletes/49321,2021-05-12 13:25:17
43200,CONTI Alessandra,ITA,ITALY,Right,22,https://fie.org/athletes/43200,2021-05-12 13:25:20
49494,BASEESEH Zain,JOR,JORDAN,Right,17,https://fie.org/athletes/49494,2021-05-12 13:25:24
43368,MARAZZINI Giorgia,ITA,ITALY,Right,20,https://fie.org/athletes/43368,2021-05-12 13:25:27
43369,MANZOLI Martina,ITA,ITALY,Right,20,https://fie.org/athletes/43369,2021-05-12 13:25:29
43372,PASQUALI Flavia,ITA,ITALY,Right,22,https://fie.org/athletes/43372,2021-05-12 13:25:32
35246,YAN Ho Ching,HKG,"HONG KONG, CHINA",Right,23,https://fie.org/athletes/35246,2021-05-12 13:25:35
49591,SOLAIMALAISUNDAR Manohari,IND,INDIA,Right,18,https://fie.org/athletes/49591,2021-05-12 13:25:37
37314,POON Ching Hin,HKG,"HONG KONG, CHINA",Right,23,https://fie.org/athletes/37314,2021-05-12 13:25:39
43487,CORDERO GUTIERREZ Arays,CUB,CUBA,Right,21,https://fie.org/athletes/43487,2021-05-12 13:25:42
43497,GIRON VEGA Ivett,CUB,CUBA,Right,22,https://fie.org/athletes/43497,2021-05-12 13:25:44
49641,ALHAMMADI Meera,UAE,UNITED ARAB EMIRATES,Right,16,https://fie.org/athletes/49641,2021-05-12 13:25:46
43506,ALVA VILLALON Raquel,CUB,CUBA,Right,19,https://fie.org/athletes/43506,2021-05-12 13:25:49
43508,FERRER MOREJON Roxana,CUB,CUBA,Right,20,https://fie.org/athletes/43508,2021-05-12 13:25:51
37373,OPPERMAN Danica,RSA,SOUTH AFRICA,Right,22,https://fie.org/athletes/37373,2021-05-12 13:25:54
33286,ARCHER Kati,GBR,GREAT BRITAIN,Right,60,https://fie.org/athletes/33286,2021-05-12 14:52:10
33287,GUICHAOUA Sylvie,CAN,CANADA,Right,58,https://fie.org/athletes/33287,2021-05-12 14:52:10
16924,MURAYAMA Yoshimi,JPN,JAPAN,Right,69,https://fie.org/athletes/16924,2021-05-12 13:26:01
33343,TOEDA Masayo,JPN,JAPAN,Left,57,https://fie.org/athletes/33343,2021-05-12 13:26:11
19045,MCKENZIE Lisa,GBR,GREAT BRITAIN,Right,32,https://fie.org/athletes/19045,2021-05-12 13:26:14
45690,LEE Hoi Ching Christie,CAN,CANADA,Right,22,https://fie.org/athletes/45690,2021-05-12 13:26:16
2696,AUBAILLY Corinne,FRA,FRANCE,Left,65,https://fie.org/athletes/2696,2021-05-12 14:50:14
41634,GUTKOVSKAYA Nurkhavo,USA,USA,Right,66,https://fie.org/athletes/41634,2021-05-12 13:26:28
31428,ROMASHINA Sofya,CAN,CANADA,Right,23,https://fie.org/athletes/31428,2021-05-12 13:26:30
37573,UTEULENOVA Ayauly,KAZ,KAZAKHSTAN,Right,21,https://fie.org/athletes/37573,2021-05-12 13:26:33
8906,FIBRANZ Ute,GER,GERMANY,Right,69,https://fie.org/athletes/8906,2021-05-12 13:26:35
39633,LEE Annora,USA,USA,Right,18,https://fie.org/athletes/39633,2021-05-12 13:26:37
33500,MARTINOT Claire,FRA,FRANCE,Right,64,https://fie.org/athletes/33500,2021-05-12 13:26:40
31455,ESPOSITO Silvana,ITA,ITALY,Right,59,https://fie.org/athletes/31455,2021-05-12 13:26:42
39652,TOSA Yukino,JPN,JAPAN,Right,19,https://fie.org/athletes/39652,2021-05-12 13:26:45
45802,ZAPPALORTO Vittoria,ITA,ITALY,Right,22,https://fie.org/athletes/45802,2021-05-12 13:26:47
45803,GASPAROTTO Giorgia,ITA,ITALY,Right,20,https://fie.org/athletes/45803,2021-05-12 13:26:49
45807,JIA Jessica,CAN,CANADA,Right,20,https://fie.org/athletes/45807,2021-05-12 13:26:52
45819,TIAN Grace,USA,USA,Right,19,https://fie.org/athletes/45819,2021-05-12 13:26:54
45836,HUALLPA CORNEJO Alessia Del Pilar,PER,PERU,Right,20,https://fie.org/athletes/45836,2021-05-12 13:26:57
47889,ONG Philippa Jean Ziyi,MAS,MALAYSIA,Left,17,https://fie.org/athletes/47889,2021-05-12 13:26:59
37655,TAMAYO ZORRILLA Elisa,CUB,CUBA,Right,30,https://fie.org/athletes/37655,2021-05-12 13:27:01
19232,CLAYTON Jane,GBR,GREAT BRITAIN,Right,66,https://fie.org/athletes/19232,2021-05-12 13:27:04
19254,CIRILLO Gianna,ITA,ITALY,Right,64,https://fie.org/athletes/19254,2021-05-12 14:50:51
9016,OFFERLE Judith,USA,USA,Left,69,https://fie.org/athletes/9016,2021-05-12 14:50:56
11074,VINES Kristin,USA,USA,Left,61,https://fie.org/athletes/11074,2021-05-12 13:27:20
27475,ALLARDICE Jane,AUS,AUSTRALIA,Right,71,https://fie.org/athletes/27475,2021-05-12 14:51:11
21338,BALLARD Annabelle,AUS,AUSTRALIA,Right,65,https://fie.org/athletes/21338,2021-05-12 14:51:16
19302,WALTERS Anne-Marie,USA,USA,Right,67,https://fie.org/athletes/19302,2021-05-12 14:51:27
41837,MAINA Mila,ITA,ITALY,Left,21,https://fie.org/athletes/41837,2021-05-12 13:27:34
47989,HUNT Tarleton,USA,USA,Right,19,https://fie.org/athletes/47989,2021-05-12 13:27:36
41852,ZHANG Lina,CHN,CHINA,Right,65,https://fie.org/athletes/41852,2021-05-12 14:51:52
19332,KIRCHEIS Astrid,GER,GERMANY,Right,66,https://fie.org/athletes/19332,2021-05-12 13:27:41
23430,ZHDANOVA Tatiana,RUS,RUSSIA,Right,65,https://fie.org/athletes/23430,2021-05-12 14:50:04
23432,MAYOROVA Liubov,RUS,RUSSIA,Right,72,https://fie.org/athletes/23432,2021-05-12 14:50:09
29583,ALBINI Adriana,ITA,ITALY,Right,65,https://fie.org/athletes/29583,2021-05-12 13:28:01
45973,ANADI Pre Charlene,TOG,TOGO,Right,17,https://fie.org/athletes/45973,2021-05-12 13:28:10
45979,ADAMENOU Kossiwavi,TOG,TOGO,Right,16,https://fie.org/athletes/45979,2021-05-12 13:28:16
21457,STARKS-FAULKNER Jenette,USA,USA,Right,66,https://fie.org/athletes/21457,2021-05-12 14:51:02
11217,DELACOUR Brigitte,FRA,FRANCE,Right,68,https://fie.org/athletes/11217,2021-05-12 14:51:11
48100,NAHR Chantal,NED,NETHERLANDS,Right,25,https://fie.org/athletes/48100,2021-05-12 13:28:36
3046,THELOT Isabelle,FRA,FRANCE,Right,70,https://fie.org/athletes/3046,2021-05-12 13:28:38
29698,AGRELLA Susan,RSA,SOUTH AFRICA,Right,60,https://fie.org/athletes/29698,2021-05-12 14:52:05
37902,ILYASOVA Maftuna,UZB,UZBEKISTAN,Right,24,https://fie.org/athletes/37902,2021-05-12 13:28:47
37903,ABDURAZAKOVA Mushtariy,UZB,UZBEKISTAN,Right,25,https://fie.org/athletes/37903,2021-05-12 13:28:50
11314,JANSEN Karin,GER,GERMANY,Right,68,https://fie.org/athletes/11314,2021-05-12 14:50:44
48211,LEE Allison,USA,USA,Right,17,https://fie.org/athletes/48211,2021-05-12 13:29:01
35934,VACARASU Raluca,ROU,ROMANIA,Right,22,https://fie.org/athletes/35934,2021-05-12 13:29:04
19576,LUNDGREN Sirpa,FIN,FINLAND,Right,70,https://fie.org/athletes/19576,2021-05-12 14:51:46
33921,DOGANAY Simay,TUR,TURKEY,Right,25,https://fie.org/athletes/33921,2021-05-12 13:29:13
11394,CHERNOVA Ludmila,RUS,RUSSIA,Right,64,https://fie.org/athletes/11394,2021-05-12 14:49:48
3203,HALSTED Clare,GBR,GREAT BRITAIN,Right,72,https://fie.org/athletes/3203,2021-05-12 13:29:22
42130,SOELLING-ANDERSEN Birgitte,DEN,DENMARK,Left,72,https://fie.org/athletes/42130,2021-05-12 13:29:25
44185,ORJUELA MENDOZA Angela Cristina,COL,COLOMBIA,Right,28,https://fie.org/athletes/44185,2021-05-12 13:29:27
27806,BUDNIAK Fiona,AUS,AUSTRALIA,Right,60,https://fie.org/athletes/27806,2021-05-12 13:29:30
27815,EZINLER Ozden,TUR,TURKEY,Right,70,https://fie.org/athletes/27815,2021-05-12 13:29:32
38090,VADSTRUP Sophia Hack,DEN,DENMARK,Right,23,https://fie.org/athletes/38090,2021-05-12 13:29:39
48343,MARTINEZ Jimena,MEX,MEXICO,Right,20,https://fie.org/athletes/48343,2021-05-12 13:29:41
48345,ROJO Sweet,MEX,MEXICO,Right,19,https://fie.org/athletes/48345,2021-05-12 13:29:44
3301,MORRIS Jennifer,GBR,GREAT BRITAIN,Right,65,https://fie.org/athletes/3301,2021-05-12 14:51:21
48368,LA VALLEY Paloma,MEX,MEXICO,Right,18,https://fie.org/athletes/48368,2021-05-12 13:29:55
44272,CARBALLO BARRERA Rina Gabriela,ESA,EL SALVADOR,Right,30,https://fie.org/athletes/44272,2021-05-12 13:29:57
48384,PERAZA Alondra,MEX,MEXICO,Right,17,https://fie.org/athletes/48384,2021-05-12 13:30:00
48409,SAKAI Mako,JPN,JAPAN,Right,21,https://fie.org/athletes/48409,2021-05-12 13:30:02
46383,MATIENZO Maricar,PHI,PHILIPPINES,Right,21,https://fie.org/athletes/46383,2021-05-12 13:30:05
36152,ANDERSON Sheila,GBR,GREAT BRITAIN,Right,64,https://fie.org/athletes/36152,2021-05-12 14:50:56
38210,YU Li Chun,TPE,CHINESE TAIPEI,Left,25,https://fie.org/athletes/38210,2021-05-12 13:30:10
40274,BAKSHI Riya,IND,INDIA,Left,20,https://fie.org/athletes/40274,2021-05-12 13:30:12
36212,RIOS Paula,GUA,GUATEMALA,Right,22,https://fie.org/athletes/36212,2021-05-12 13:30:15
36213,CORDON Rosario,GUA,GUATEMALA,Left,24,https://fie.org/athletes/36213,2021-05-12 13:30:17
49223,DE BIASIO Irene,ITA,ITALY,Right,17,https://fie.org/athletes/49223,2021-05-12 13:36:20
51303,FINKENSTAEDT Antonia,GER,GERMANY,Right,17,https://fie.org/athletes/51303,2021-05-12 13:36:23
51316,MENDES Luisa,POR,PORTUGAL,Left,18,https://fie.org/athletes/51316,2021-05-12 13:36:26
51322,CHIN Sia,KOR,KOREA,Right,16,https://fie.org/athletes/51322,2021-05-12 13:36:28
36988,RUIZ MARTINEZ Belen,ARG,ARGENTINA,Right,22,https://fie.org/athletes/36988,2021-05-12 13:36:30
51323,LEE Heejoo,KOR,KOREA,Right,17,https://fie.org/athletes/51323,2021-05-12 13:36:33
49279,TESTA BARBATO Wendy,COL,COLOMBIA,Right,16,https://fie.org/athletes/49279,2021-05-12 13:36:35
49286,KAWASAKI Namie,PER,PERU,Left,16,https://fie.org/athletes/49286,2021-05-12 13:36:38
43151,TAN Jia Lin,SGP,SINGAPORE,Right,18,https://fie.org/athletes/43151,2021-05-12 13:36:41
51359,TSANG Amelie,GBR,GREAT BRITAIN,Left,14,https://fie.org/athletes/51359,2021-05-12 13:36:43
43174,KOO Haley,USA,USA,Right,19,https://fie.org/athletes/43174,2021-05-12 13:36:46
51368,CARUS BIRD Martha,GBR,GREAT BRITAIN,Right,17,https://fie.org/athletes/51368,2021-05-12 13:36:48
51377,SEET Tiffany,SGP,SINGAPORE,Left,16,https://fie.org/athletes/51377,2021-05-12 13:36:51
51393,YAROSHENKO Karina,USA,USA,Right,18,https://fie.org/athletes/51393,2021-05-12 13:36:54
37062,FERDON Danielle,USA,USA,Right,23,https://fie.org/athletes/37062,2021-05-12 13:36:56
51433,MIDDLETON Amelia,GBR,GREAT BRITAIN,Right,18,https://fie.org/athletes/51433,2021-05-12 13:36:59
43243,CHAN Pui Shan,HKG,"HONG KONG, CHINA",Right,20,https://fie.org/athletes/43243,2021-05-12 13:37:02
51434,KNOX Eleanor,GBR,GREAT BRITAIN,Right,17,https://fie.org/athletes/51434,2021-05-12 13:37:05
51445,GALE Madeleine,GBR,GREAT BRITAIN,Right,17,https://fie.org/athletes/51445,2021-05-12 13:37:07
51461,GORDOA Sofia,MEX,MEXICO,Right,15,https://fie.org/athletes/51461,2021-05-12 13:37:10
51471,ROUSSEAU Marion,FRA,FRANCE,Right,17,https://fie.org/athletes/51471,2021-05-12 13:37:13
37148,RUBILAR Javiera,CHI,CHILE,Right,21,https://fie.org/athletes/37148,2021-05-12 13:37:16
51503,ARAUZ Carmen,GUA,GUATEMALA,Left,18,https://fie.org/athletes/51503,2021-05-12 13:37:19
51506,CHO Cameron,USA,USA,Right,15,https://fie.org/athletes/51506,2021-05-12 13:37:21
37179,ORTIZ FALCON Marise,PUR,PUERTO RICO,Left,20,https://fie.org/athletes/37179,2021-05-12 13:37:24
37182,YAMIN Isabel Cristina,PUR,PUERTO RICO,Right,20,https://fie.org/athletes/37182,2021-05-12 13:37:26
49470,MONSALVE Ainara,PER,PERU,Right,16,https://fie.org/athletes/49470,2021-05-12 13:37:29
51527,MENA ORTIZ Irene Abigail,ESA,EL SALVADOR,Left,15,https://fie.org/athletes/51527,2021-05-12 13:37:32
51548,MEJIA LOPEZ Angie Fabiola,HN,HN,Right,16,https://fie.org/athletes/51548,2021-05-12 13:37:34
29040,MOHSENI Motahareh,IRI,IRAN,Left,24,https://fie.org/athletes/29040,2021-05-12 13:37:38
43404,SORO Bintou Samira,CIV,COTE D'IVOIRE,Right,20,https://fie.org/athletes/43404,2021-05-12 13:37:40
43405,KOFFI Enni Jennifer Danielle,CIV,COTE D'IVOIRE,Right,19,https://fie.org/athletes/43405,2021-05-12 13:37:43
43426,GOUAMENE Yohou Audrey Ariel Laeticia,CIV,COTE D'IVOIRE,Right,20,https://fie.org/athletes/43426,2021-05-12 13:37:46
43482,GIRAO RODRIGUEZ Angelica Maria,CUB,CUBA,Left,18,https://fie.org/athletes/43482,2021-05-12 13:37:49
49730,CHAN Nok Sze Daphne,HKG,"HONG KONG, CHINA",Right,16,https://fie.org/athletes/49730,2021-05-12 13:37:53
45654,SCARASCIA MUGNOZZA Agnese,ITA,ITALY,Left,20,https://fie.org/athletes/45654,2021-05-12 13:37:56
41570,SUN Xiayuan,CHN,CHINA,Right,23,https://fie.org/athletes/41570,2021-05-12 13:37:59
49763,KORABLINA Aleksandra,RUS,RUSSIA,Right,18,https://fie.org/athletes/49763,2021-05-12 13:38:01
41575,LU Mei,CHN,CHINA,Right,21,https://fie.org/athletes/41575,2021-05-12 13:38:04
21093,SHI Yun,CHN,CHINA,Right,28,https://fie.org/athletes/21093,2021-05-12 13:38:06
51810,DACO Sophie,BEL,BELGIUM,Right,18,https://fie.org/athletes/51810,2021-05-12 13:38:09
