fencer_ID,opp_ID,fencer_age,opp_age,fencer_score,opp_score,winner_ID,fencer_curr_pts,opp_curr_pts,tournament_ID,pool_ID,upset,date
29042,37386,25,23,3,5,37386,0.0,0.0,2015-771,3,False,2015-03-05
31207,37434,25,21,1,5,37434,0.0,0.0,2015-771,3,False,2015-03-05
31207,37417,25,22,4,5,37417,0.0,0.0,2015-771,3,False,2015-03-05
31207,37386,25,23,2,5,37386,0.0,0.0,2015-771,3,False,2015-03-05
37434,37417,21,22,1,5,37417,0.0,0.0,2015-771,3,False,2015-03-05
37434,37386,21,23,0,5,37386,0.0,0.0,2015-771,3,False,2015-03-05
37417,37386,22,23,3,5,37386,0.0,0.0,2015-771,3,False,2015-03-05
29040,37389,24,25,4,5,37389,0.0,0.0,2015-771,4,False,2015-03-05
29040,35564,24,20,5,1,29040,0.0,3.0,2015-771,4,True,2015-03-05
29040,35246,24,23,3,2,29040,0.0,0.0,2015-771,4,False,2015-03-05
29040,32810,24,26,5,4,29040,0.0,0.0,2015-771,4,False,2015-03-05
29040,29452,24,25,2,5,29452,0.0,0.0,2015-771,4,False,2015-03-05
29040,32053,24,22,4,3,29040,0.0,8.0,2015-771,4,True,2015-03-05
37389,35564,25,20,5,2,37389,0.0,3.0,2015-771,4,True,2015-03-05
37389,35246,25,23,3,5,35246,0.0,0.0,2015-771,4,False,2015-03-05
37389,32810,25,26,5,2,37389,0.0,0.0,2015-771,4,False,2015-03-05
37389,29452,25,25,4,3,37389,0.0,0.0,2015-771,4,False,2015-03-05
37389,32053,25,22,5,4,37389,0.0,8.0,2015-771,4,True,2015-03-05
35564,35246,20,23,1,5,35246,3.0,0.0,2015-771,4,True,2015-03-05
35564,32810,20,26,5,2,35564,3.0,0.0,2015-771,4,False,2015-03-05
35564,29452,20,25,1,5,29452,3.0,0.0,2015-771,4,True,2015-03-05
35564,32053,20,22,1,5,32053,3.0,8.0,2015-771,4,False,2015-03-05
35246,32810,23,26,5,1,35246,0.0,0.0,2015-771,4,False,2015-03-05
35246,29452,23,25,5,4,35246,0.0,0.0,2015-771,4,False,2015-03-05
35246,32053,23,22,2,5,32053,0.0,8.0,2015-771,4,False,2015-03-05
32810,29452,26,25,1,5,29452,0.0,0.0,2015-771,4,False,2015-03-05
32810,32053,26,22,1,5,32053,0.0,8.0,2015-771,4,False,2015-03-05
29452,32053,25,22,2,5,32053,0.0,8.0,2015-771,4,False,2015-03-05
37426,37388,22,26,2,5,37388,0.0,0.0,2015-771,5,False,2015-03-05
37426,37279,22,24,4,5,37279,0.0,0.0,2015-771,5,False,2015-03-05
37426,28644,22,24,0,5,28644,0.0,2.0,2015-771,5,False,2015-03-05
37426,31420,22,21,1,5,31420,0.0,5.0,2015-771,5,False,2015-03-05
37426,31042,22,23,0,5,31042,0.0,10.0,2015-771,5,False,2015-03-05
37388,37279,26,24,5,3,37388,0.0,0.0,2015-771,5,False,2015-03-05
37388,28644,26,24,3,5,28644,0.0,2.0,2015-771,5,False,2015-03-05
37388,31420,26,21,5,1,37388,0.0,5.0,2015-771,5,True,2015-03-05
37388,31042,26,23,1,5,31042,0.0,10.0,2015-771,5,False,2015-03-05
37279,28644,24,24,1,5,28644,0.0,2.0,2015-771,5,False,2015-03-05
37279,31420,24,21,4,5,31420,0.0,5.0,2015-771,5,False,2015-03-05
37279,31042,24,23,2,5,31042,0.0,10.0,2015-771,5,False,2015-03-05
28644,31420,24,21,2,5,31420,2.0,5.0,2015-771,5,False,2015-03-05
28644,31042,24,23,5,4,28644,2.0,10.0,2015-771,5,True,2015-03-05
31420,31042,21,23,3,5,31042,5.0,10.0,2015-771,5,False,2015-03-05
31430,37407,23,23,5,1,31430,0.0,0.0,2015-771,6,False,2015-03-05
31430,35024,23,25,1,5,35024,0.0,0.0,2015-771,6,False,2015-03-05
31430,37424,23,24,5,0,31430,0.0,0.0,2015-771,6,False,2015-03-05
31430,37023,23,24,0,5,37023,0.0,4.0,2015-771,6,False,2015-03-05
31430,34951,23,22,5,2,31430,0.0,0.0,2015-771,6,False,2015-03-05
37407,35024,23,25,2,5,35024,0.0,0.0,2015-771,6,False,2015-03-05
37407,37424,23,24,5,2,37407,0.0,0.0,2015-771,6,False,2015-03-05
37407,37023,23,24,2,5,37023,0.0,4.0,2015-771,6,False,2015-03-05
37407,34951,23,22,4,5,34951,0.0,0.0,2015-771,6,False,2015-03-05
35024,37424,25,24,5,1,35024,0.0,0.0,2015-771,6,False,2015-03-05
35024,37023,25,24,5,2,35024,0.0,4.0,2015-771,6,True,2015-03-05
35024,34951,25,22,5,2,35024,0.0,0.0,2015-771,6,False,2015-03-05
37424,37023,24,24,0,5,37023,0.0,4.0,2015-771,6,False,2015-03-05
37424,34951,24,22,1,5,34951,0.0,0.0,2015-771,6,False,2015-03-05
37023,34951,24,22,5,0,37023,4.0,0.0,2015-771,6,False,2015-03-05
27901,30140,25,23,2,5,30140,0.0,0.0,2015-351,1,False,2015-03-01
27901,33546,25,22,3,5,33546,0.0,0.0,2015-351,1,False,2015-03-01
27901,31157,25,26,1,5,31157,0.0,0.0,2015-351,1,False,2015-03-01
27901,28701,25,24,1,5,28701,0.0,0.0,2015-351,1,False,2015-03-01
27901,32676,25,25,1,5,32676,0.0,0.0,2015-351,1,False,2015-03-01
27901,31868,25,25,0,5,31868,0.0,0.0,2015-351,1,False,2015-03-01
30140,33546,23,22,2,5,33546,0.0,0.0,2015-351,1,False,2015-03-01
30140,31157,23,26,5,4,30140,0.0,0.0,2015-351,1,False,2015-03-01
30140,28701,23,24,3,5,28701,0.0,0.0,2015-351,1,False,2015-03-01
30140,32676,23,25,5,4,30140,0.0,0.0,2015-351,1,False,2015-03-01
30140,31868,23,25,5,2,30140,0.0,0.0,2015-351,1,False,2015-03-01
33546,31157,22,26,3,5,31157,0.0,0.0,2015-351,1,False,2015-03-01
33546,28701,22,24,2,5,28701,0.0,0.0,2015-351,1,False,2015-03-01
33546,32676,22,25,3,5,32676,0.0,0.0,2015-351,1,False,2015-03-01
33546,31868,22,25,4,5,31868,0.0,0.0,2015-351,1,False,2015-03-01
31157,28701,26,24,4,5,28701,0.0,0.0,2015-351,1,False,2015-03-01
31157,32676,26,25,5,2,31157,0.0,0.0,2015-351,1,False,2015-03-01
31157,31868,26,25,3,5,31868,0.0,0.0,2015-351,1,False,2015-03-01
28701,32676,24,25,5,1,28701,0.0,0.0,2015-351,1,False,2015-03-01
28701,31868,24,25,5,2,28701,0.0,0.0,2015-351,1,False,2015-03-01
32676,31868,25,25,5,4,32676,0.0,0.0,2015-351,1,False,2015-03-01
29054,29852,24,23,5,1,29054,2.0,6.0,2015-351,2,True,2015-03-01
29054,27267,24,24,5,3,29054,2.0,0.0,2015-351,2,False,2015-03-01
29054,34851,24,22,5,3,29054,2.0,0.0,2015-351,2,False,2015-03-01
29054,32393,24,23,5,4,29054,2.0,0.0,2015-351,2,False,2015-03-01
29054,32248,24,23,1,5,32248,2.0,0.0,2015-351,2,True,2015-03-01
29054,34953,24,22,5,2,29054,2.0,0.0,2015-351,2,False,2015-03-01
29852,27267,23,24,1,5,27267,6.0,0.0,2015-351,2,True,2015-03-01
29852,34851,23,22,4,5,34851,6.0,0.0,2015-351,2,True,2015-03-01
29852,32393,23,23,5,3,29852,6.0,0.0,2015-351,2,False,2015-03-01
29852,32248,23,23,2,5,32248,6.0,0.0,2015-351,2,True,2015-03-01
29852,34953,23,22,5,2,29852,6.0,0.0,2015-351,2,False,2015-03-01
27267,34851,24,22,2,5,34851,0.0,0.0,2015-351,2,False,2015-03-01
27267,32393,24,23,5,1,27267,0.0,0.0,2015-351,2,False,2015-03-01
27267,32248,24,23,3,5,32248,0.0,0.0,2015-351,2,False,2015-03-01
27267,34953,24,22,4,5,34953,0.0,0.0,2015-351,2,False,2015-03-01
34851,32393,22,23,5,2,34851,0.0,0.0,2015-351,2,False,2015-03-01
34851,32248,22,23,4,5,32248,0.0,0.0,2015-351,2,False,2015-03-01
34851,34953,22,22,5,1,34851,0.0,0.0,2015-351,2,False,2015-03-01
32393,32248,23,23,5,2,32393,0.0,0.0,2015-351,2,False,2015-03-01
32393,34953,23,22,5,1,32393,0.0,0.0,2015-351,2,False,2015-03-01
32248,34953,23,22,5,2,32248,0.0,0.0,2015-351,2,False,2015-03-01
32900,28651,21,23,2,4,28651,0.0,0.0,2015-351,3,False,2015-03-01
32900,31917,21,22,2,5,31917,0.0,0.0,2015-351,3,False,2015-03-01
32900,30327,21,23,3,4,30327,0.0,6.0,2015-351,3,False,2015-03-01
