competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
351,2017,Championnats d’Europe juniors,Junior,BULGARIA,2017-03-06,2017-03-06,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2017/351,2017-351,
122,2017,Reinhold-Würth-Cup,Senior,GERMANY,2017-04-28,2017-04-29,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/122,2017-122,
34,2006,Trophée Le Mura di Lucca,Junior,ITALY,2005-10-01,2005-10-01,Foil,Womens,Europe/Rome,https://fie.org/competitions/2006/34,2006-34,no pools data
1233,2015,Jeux centraméricains et caribéens,Senior,MEXICO,2014-11-14,2014-11-30,Foil,Womens,America/Mexico_City,https://fie.org/competitions/2015/1233,2015-1233,no pools data
33,2008,Memorial de Martinengo,Junior,SLOVAKIA,2007-10-13,2007-10-13,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2008/33,2008-33,no pools data
125,2006,Cup Eximbank,Senior,HUNGARY,2006-05-27,2006-05-28,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2006/125,2006-125,no pools data
122,2019,Coupe du Monde,Senior,GERMANY,2019-05-03,2019-05-04,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2019/122,2019-122,
627,2009,Star Cup Belgrade,Senior,SERBIA,2009-02-07,2009-02-08,Foil,Womens,Europe/Belgrade,https://fie.org/competitions/2009/627,2009-627,no pools data
243,2004,Jeux Olympiques,Senior,GREECE,2004-08-18,2004-08-18,Foil,Womens,Europe/Athens,https://fie.org/competitions/2004/243,2004-243,no pools data
41,2020,Coupe du Monde,Junior,ROMANIA,2019-12-07,2019-12-07,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2020/41,2020-41,
800,2019,Championnats Panaméricains,Senior,CANADA,2019-06-27,2019-06-27,Foil,Womens,America/Toronto,https://fie.org/competitions/2019/800,2019-800,
933,2018,Сhampionnats de la Méditerranée,Cadet,EGYPT,2018-02-16,2018-02-16,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2018/933,2018-933,no pools data
41,2019,Coupe du Monde,Junior,BULGARIA,2018-12-08,2018-12-08,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2019/41,2019-41,
243,1989,Championnats du Monde,Senior,USA,1989-07-05,1989-07-15,Foil,Womens,America/Denver,https://fie.org/competitions/1989/243,1989-243,no pools data
586,2012,Championnats d'Afrique,Senior,MOROCCO,2012-04-20,2012-04-25,Foil,Womens,Africa/Casablanca,https://fie.org/competitions/2012/586,2012-586,no pools data
397,2017,Tournoi satellite,Senior,NETHERLANDS,2016-09-25,2016-09-25,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2017/397,2017-397,
397,2020,Tournoi satellite,Senior,NETHERLANDS,2019-09-08,2019-09-08,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2020/397,2020-397,
812,2016,Championnats Panaméricains Juniors,Junior,MEXICO,2016-02-27,2016-03-04,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/812,2016-812,
765,2011,Championnats asiatiques cadets,Cadet,THAILAND,2011-03-04,2011-03-13,Foil,Womens,Asia/Bangkok,https://fie.org/competitions/2011/765,2011-765,no pools data
1061,2016,Championnats de qualification - Afrique,Senior,ALGERIA,2016-04-14,2016-04-14,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/1061,2016-1061,
126,2003,Souvenir Jeanty,Senior,FRANCE,2003-05-02,2003-05-03,Foil,Womens,Europe/Paris,https://fie.org/competitions/2003/126,2003-126,no pools data
586,2016,Championnats d'Afrique,Senior,ALGERIA,2016-04-15,2016-04-19,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/586,2016-586,
121,2010,SK Trophée Séoul,Senior,KOREA,2010-05-07,2010-05-08,Foil,Womens,Asia/Seoul,https://fie.org/competitions/2010/121,2010-121,no pools data
129,2006,Prince Takamado WC,Senior,JAPAN,2006-03-10,2006-03-11,Foil,Womens,Asia/Tokyo,https://fie.org/competitions/2006/129,2006-129,no pools data
243,1972,Jeux Olympiques,Senior,GERMANY,1972-08-26,1972-09-11,Foil,Womens,Europe/Berlin,https://fie.org/competitions/1972/243,1972-243,no pools data
225,1989,Championnats du Monde,Junior,GREECE,1989-03-23,1989-03-27,Foil,Womens,Europe/Athens,https://fie.org/competitions/1989/225,1989-225,no pools data
857,2016,Championnats d'Afrique,Junior,MALI,2016-03-04,2016-03-04,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2016/857,2016-857,
1105,2018,Championnats du monde vétérans 50-59,Veterans,ITALY,2018-10-11,2018-10-11,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1105,2018-1105,
127,2006,Cup der Sparkasse Leipzig,Senior,GERMANY,2006-05-13,2006-05-14,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2006/127,2006-127,no pools data
34,2009,Alpe Adria,Junior,ITALY,2008-12-05,2008-12-05,Foil,Womens,Europe/Rome,https://fie.org/competitions/2009/34,2009-34,no pools data
518,2006,Challenge Jeanty,Senior,FRANCE,2006-06-02,2006-06-03,Foil,Womens,Europe/Paris,https://fie.org/competitions/2006/518,2006-518,no pools data
927,2016,Сhampionnats de la Méditerranée,Junior,ALGERIA,2016-01-29,2016-01-31,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/927,2016-927,no pools data
237,2007,Champ du monde juniors-cadets,Cadet,TURKEY,2007-04-12,2007-04-12,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2007/237,2007-237,no pools data
125,2018,Coupe du Monde,Senior,MEXICO,2017-10-13,2017-10-14,Foil,Womens,America/Cancun,https://fie.org/competitions/2018/125,2018-125,
225,2019,Championnats du monde juniors-cadets,Junior,POLAND,2019-04-09,2019-04-09,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/225,2019-225,
127,2010,Cup der Sparkasse Leipzig,Senior,GERMANY,2010-02-20,2010-02-21,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2010/127,2010-127,no pools data
